company,ticker,year,assets,cash,current_assets,current_liabilities,equity,liabilities,net_income,revenue,current_ratio,liabilities_to_equity,cash_to_assets,net_margin,revenue_growth
Ford,F,2023,273310000000,24862000000,121481000000,101531000000,42773000000,230512000000,4347000000,176191000000,1.1964917118909495,5.389194117784584,0.09096630200139036,0.024672088812708937,
Ford,F,2024,285196000000,22935000000,124474000000,106859000000,44835000000,240338000000,5879000000,184992000000,1.1648433917592342,5.3604996096799375,0.08041837893939606,0.03177975263795191,0.04995147311724213
Ford,F,2025,289160000000,23356000000,123487000000,114890000000,35952000000,253180000000,-8162000000,187267000000,1.0748280964400732,7.042167334223409,0.08077189099460506,-0.0435848280796937,0.012297829095312185
General Motors,GM,2023,273064000000,18853000000,101618000000,94445000000,64286000000,204757000000,10127000000,157658000000,1.0759489650060883,3.1850947329122983,0.06904242228928018,0.06423397480622614,
General Motors,GM,2024,279761000000,19872000000,108545000000,96265000000,63072000000,214171000000,6008000000,171606000000,1.127564535397081,3.3956589294774226,0.07103205950793713,0.035010430870715474,0.0884699793223307
General Motors,GM,2025,281284000000,20945000000,108767000000,93342000000,61119000000,218116000000,2697000000,167971000000,1.165252512266718,3.5687102210441926,0.07446210946943303,0.016056343059218554,-0.021182243045114957
Tesla,TSLA,2023,106618000000,16398000000,49616000000,28748000000,62634000000,43009000000,14997000000,96773000000,1.7258939752330598,0.6866717757128716,0.1538014218987413,0.15497091130790613,
Tesla,TSLA,2024,122070000000,16139000000,58360000000,28821000000,72913000000,48390000000,7091000000,97690000000,2.024912390270983,0.6636676587165526,0.13221102646022773,0.07258675401781145,0.009475783534663496
Tesla,TSLA,2025,137806000000,16513000000,68642000000,31714000000,82137000000,54941000000,3794000000,94827000000,2.1644068865485275,0.6688946516186371,0.11982787396775177,0.04000970187815706,-0.02930699150373628
